edge_type_id target_query source_query target_sections delay distance_range dynamics_params model_template syn_weight
100 pop_name=='Exc' pop_name=='Exc' ['soma'] 0 "[0.0, 999.9]" ExcToExc.json exp2syn 0.0
101 pop_name=='Inh' pop_name=='Exc' ['soma'] 0 "[0.0, 999.9]" ExcToInh.json exp2syn 0.00125
102 pop_name=='Exc' pop_name=='Inh' ['soma'] 0 "[0.0, 999.9]" InhToExc.json exp2syn 0.005
103 pop_name=='Inh' pop_name=='Inh' ['soma'] 0 "[0.0, 999.9]" InhToInh.json exp2syn 0.005
104 pop_name=='Olm' pop_name=='Exc' ['soma'] 0 "[0.0, 999.9]" ExcToInh.json exp2syn 0.0
105 pop_name=='Olm' pop_name=='Inh' ['soma'] 0 "[0.0, 999.9]" InhToInh.json exp2syn 0.01
106 pop_name=='Exc' pop_name=='Olm' ['soma'] 0 "[0.0, 999.9]" OlmToExc.json exp2syn 0.02
107 pop_name=='Inh' pop_name=='Olm' ['soma'] 0 "[0.0, 999.9]" OlmToInh.json exp2syn 0.01
108 pop_name=='Olm' pop_name=='Olm' ['soma'] 0 "[0.0, 999.9]" OlmToInh.json exp2syn 0.0
